start	end	text
0	2060	you
30000	33060	you
60000	62000	you
70000	74000	hi all good evening
79000	82000	so how's everyone
82000	96000	I'll share my screen hope I'm audible guys I'm audible and visible you can see my screen share
96000	106000	I'll have some timer before we get started with class let's put it 3 minutes
107000	110000	we'll start exactly at 9.05
110000	112000	I did
118000	125000	so any doubts from the previous sessions or like how's your assignment going
128000	134000	any doubts guys from previous session hope everyone have solved their assignments who are present in the class currently
134000	137000	I see lower in number but
138000	141000	very good great munish
143000	148000	so usually we get a people get drop on Saturday right
148000	151000	what to choose for submit
153000	159000	will exactly implement from both but it's like a you know input type or submit button right
159000	165000	so even if you are getting a button is an you know HTML5 semantic
165000	170000	like semantic element where you when you select the input type
170000	177000	input and give type equal to you know submit then it will be used in the same way
177000	180000	so it is your choice like whether you can use it anything
180000	181000	okay
183000	184000	so
187000	194000	I see less people joining class today can anyone help me or dropping a message in WhatsApp group
194000	197000	like we are able to get started please join us
198000	201000	can anyone help me out or should I drop it
201000	204000	can anyone help me out or should I drop it
207000	210000	let me do this give me a second guys
211000	213000	hey thank you munish
215000	219000	inform of what purpose using method, post or get
219000	222000	Kabir will see that in future classes okay
222000	226000	about method, post and get actually when we will build APIs and we will deal with it
226000	229000	I am supposed to explain completely in depth
229000	231000	we will take it at that time okay
231000	236000	currently the agenda is was earlier to understand elements and HTML part
236000	240000	today we will understand interaction part of CSS then we will go ahead
243000	248000	it's not mandatory submit it depends on the use cases that you are using
248000	250000	three of the attributes okay
250000	254000	attributes are generally enhancing the existing elements
254000	258000	so whatever attributes you needed you can add as per your specific
258000	260000	but there is nothing as such mandatory
262000	264000	action also yes
264000	268000	everything related to action because it's a redirection right
268000	272000	URL being changed give me a second guys I will connect iPad
274000	276000	and we will get started with today's class
284000	286000	okay
300000	304000	so I hope everyone is able to see the iPad screen
304000	306000	okay
310000	312000	yeah
312000	314000	two people are there
314000	316000	we usually have problem with Abhishek's in class
316000	318000	there are too many Abhishek's in class
318000	320000	in India we have too some bits
324000	326000	great guys
326000	328000	so let's get started
328000	330000	we have good enough amount of people today
330000	332000	to get started with
332000	338000	so the class three today is an introduction to CSS class
338000	340000	okay
340000	342000	and we are able to get started with CSS
342000	344000	but what all things we will be discussing is
344000	346000	what is CSS
348000	350000	and when to use it
350000	352000	we already knew it but it's just a revision
352000	354000	then we will go with selectors
354000	358000	then once selectors is done we will talk about fonts
358000	360000	then we will check
