start	end	text
0	19880	hi all good evening how's everyone doing how's your weekend going guys?
31000	43040	okay so did anyone try that flex froggy that I pinged you last week I mean last
43040	58880	class did anyone practice on that let me pin that that's like a weekday okay
60000	67600	Abhishek you're planning you're doing some assignments or stuff like how's
67600	83680	the day was going just randomly watching some content consuming it Abhishek so
83680	91400	guys we'll wait for two three minutes then we'll get started let me share my
91400	108480	screen okay office work where do you work Abhishek if you don't mind
108640	114880	I check all our days too okay does my screen share is working guys can give me
114880	119120	thumbs up if screen share is working fine right let's say we have a three
119120	135800	minutes timer get started okay push the I pushed it Munesh like you could have
135800	139440	reminded me in the whatsapp I would have done that I just seen that some code
139440	147760	was pending so I couldn't push it just I just have done that nobody I'm happy at
147760	162680	the place where I am so how's your experience at Acolyte Digital yeah
164720	169280	but why on weekends is it like work life balance is wrong or like there's
169280	175920	something going on crazy yeah can someone share the whatsapp group link
175920	182480	guys okay old tech what tech you're working on we could have chatted on this
182480	187760	like in a normal way also to your opinion personally saw all other doesn't
187760	197120	for to see never been near and on that Abhishek never been around that for
197160	203360	currency see I have learned it some for some time but not to that like photon
203360	215680	level so guys how many of you have solved the assignments of previous
215680	224000	class or how many face challenge or anyone having any challenges is those
224000	234160	assignments easy enough great age I see only six votes guys can anyone
234160	238040	have ping in the whatsapp group again like we are getting started easy and
238040	246320	basic great I see less people join class today that's the reason someone can
246760	255520	will get started I specifically put a message such that you know this this is
255520	266720	of today's a weekend right so people are indifferent okay that's why I was like
266720	273680	there was only one question in assignment but I have shared I've shared
273680	280960	flex froggy to practice you can check in the pinned one that that would be
280960	285520	really helpful you know to practice it it's very difficult to get a job in a
285520	291200	full stack as a fresher it's tricky because freshers you know there are two
291200	295320	different domains one is SD roles had good good companies where you are
295320	301120	expected to perform in certain role then it's fine but there are some companies
301120	305240	which you consider yourself as a fresher as a fresher whatever skill set your
305240	308840	position poses doesn't matter to them they train you against on something what
308840	315000	they wanted so either of it but I would prefer like you pick something open
315000	328520	source related tech and then go into that let's get started guys okay what do
328520	332080	you think react is going to replace with next year's next year's is a react
332080	344720	framework you cannot build next year's project without using react do you think
344720	354960	it you can do it Abhishek next year next year's is just you know I'll come to
355040	359040	that actually I'll actually come to that what is react and what is next year's
359040	364860	well I'll just introduce next year's because I wouldn't think you know really
364860	370320	bigger enterprise applications right are still using next year's we haven't
370320	373920	moved it our application is not on next year's because we are analyzing state
