start	end	text
0	29240	Hi all good evening guys am I audible and visible great thank you to see so
29240	38920	we'll wait for five minutes until all people join meanwhile I'll share my screen do let me
38920	55160	know guys if you can see this screen share also okay it failed I'm not sure
55160	60080	why I'm not able to share the screen today isn't screen share working guys
60080	74000	are able to see VS code okay give me a second I'll join back the call okay just a second
85160	104920	I'm audible right again just trying to check on this I'm not sure let me take a screenshot
104920	112040	of this one screen share is failing and post it on a slack
134920	146160	give me a minute guys I'm just speaking tech team
164920	172880	let me retry again
172880	190960	sure starting the screen share but failing again
190960	208040	I'll try to rejoin guys give me a minute okay we'll start it anyways 905 let me restart the
238360	240160	I'll inspect this one
240160	267360	okay
270160	298800	guys give me a minute I'll check with the team like what we can do here because
299000	301600	technical issue not from my side
317280	319080	give me a minute guys I'll check on call
358800	388720	guys let me try
388800	394920	once again if not we might have to reschedule this class it's not in my
394920	401720	hand I'll try to rejoin it give me a second close the browser instance and
401720	404440	start again
418800	444760	guys let's try again
448800	460080	started working is it okay a minute guys just a minute I'll have to do some
460080	462800	of my setup
462800	489200	but screen share is working fine right just want to check with you guys once
489200	507600	right okay give me a minute guys okay fine yeah so how's everyone doing just
507600	513800	will get started in two minutes how's everyone doing this great so how's your
513800	520520	assignment going is everyone able to solve their assignments any challenges
520520	533600	from assignments perspective cool let's drop a message in group also whatsapp
533600	538000	group can anyone drop on behalf of me like we're getting started not sure if
538000	543120	some people have got dropped because of technical issue can anyone help me with
543120	545320	that
552080	556120	somebody's had a question somebody will check into that because we haven't
556120	567920	sent root dot js file but I'll pick it up in the doubt session okay thank you
567920	576040	guys thank you thank you all so I hope you all able are able to you know solve
576040	581080	the assignment problems that we like are you know said been given hardly I
581080	585720	believe one or two questions are there for each class and they just touch your
585720	590400	basics like refreshing your basics and but other than that thing right other
590400	595480	than that thing today we are formally ending introduction to like this two
595480	599320	modules I would say introduction but not completely and because we will be
599320	605600	dealing with these two topics each and every day but yeah but ease how you
605600	610680	feeling confident after like this seven classes that we spent on this like HTML
610680	621400	and CSS do you understand this one better right HTML and CSS guys I received
621400	626480	only one thumbs up we have good amount of people in class just you know are you
626480	631320	feeling comfortable with HTML CSS the concepts that we learned right if you
631320	636200	have any doubts if you have any doubts you know drop in the whatsapp chat or
636200	646240	ping me because on Saturday Sunday this weekend Saturday Sunday we are going to
646240	655800	have context or you can say exam on this content so it would be straightforward
655800	660400	basic and simple I would expect every one of you who have been attending
660400	665880	class at least you know you crack it easily because it's it's straightforward
665880	670520	and easy nothing included like there's no coding as such it's just a set of
670520	677920	rules right isn't it so keep or revise all the notes that we have shared with
677920	683680	you links just read through it once all the HTML and everything so be prepared
683680	688640	for this one once we add in class today right there is no class on Saturday
688640	693160	Saturday would be a holiday such that if you are starting or like prepping on
693160	696400	Saturday and taking exam on Sunday it's up to you if you're confident you can
697400	704920	so it's your choice so one request from my side would be surely attend
704920	716880	contest second thing keep your 100% PSP for assignments okay let's just not
716880	722040	overburden ourselves in future just keep let's keep this module clean okay are
722040	725080	you aligned with my idea guys
726600	733480	let's let's close off this weekend with HTML and CSS part okay now before going
733480	739960	into the today's topic like I just want to know are you comfortable with few
739960	748840	properties like all the properties related to font right and display
748840	763040	position when I say display guys I include all in line block in line block
763040	768880	then at least concept wise you should be okay because you haven't used it
768880	774240	that's okay up to an extent but whatever concepts I have taught you are those
774240	777880	clear and position when it comes to question I also have shared you a chart
777880	783800	that can be used for revising like if you go and see here in the self-study
783800	789400	and you open this you'll be able to see like all the five positions that would
789400	798280	act as a like shot of you know revision sort of thing right sticky static
798480	812920	absolute relative and then there is one what is the other one guys fixed right
812920	820140	and then we have discussed about box model right box model is really common
820140	827320	each every element in HTML is a box so we have by default like this is a
827320	832080	content area around that you have something called as padding and this
832080	836360	particular thing acts as a my border and then you have some space around it
836360	842760	called as margin right so I hope this all things are clear whatever CSS we
842760	846680	have learned and the HTML we have specifically talked about you know
