start	end	text
0	27360	Hi all, good evening.
27360	35040	Give me a thumbs up if I'm audible and visible cool thank you guys hello so
35040	42240	we'll wait for some time today since it's a first class before I start
42240	51440	speaking on something I'll share my screen meanwhile so can you see my screen
51440	57920	share also so I'll keep the five minutes timers as that will start with the
57920	61960	content post five minutes meanwhile if someone want to talk about anything or
61960	70720	do you have anything we can discuss among among us okay so how's everyone
72440	79560	class strength I'm not sure I've enough have to check on that but currently I
79600	84400	see 15 people are there in the class so we'll wait for some more time and get to
84400	91480	know okay so how how is your preparation with our DSA and sequel do you feel
91480	98160	confident how many of you have cleared mock interviews for them or attempted
98160	108040	pretty good great little little good so how many of you are freshers if you are
108080	112000	give me thumbs up for the freshers
114080	121680	I'm due to job okay most excited for efforts great great okay I see six
121680	129400	people which I can say 25% of batches freshers cool since full stack is a
129400	134560	beginner course right for the it's designed for religion for freshers
134560	139800	perspective and we'll slowly speed it up do we cover react and Redux also yes
139800	143480	I've been I will cover that but it will come in the later part of the you know
143480	149200	curriculum initially we'll pick it up slow but slowly one after the other so
149200	154820	once we reach at good pace then we'll cover react Redux and other state
154820	164400	management tools and node express all things a complete monstack okay so we'll
164440	171360	wait for another three minutes you only take over the LDF here after yes I'll be
171360	178800	here Emma okay so I'll be helping you out okay my LinkedIn introduce myself
178800	185760	then I thought to share it give me a second I'll pull it up okay and what's
185760	190200	up group yeah I just want to create give me a second meanwhile when since we have
190200	195480	two minutes I'll create a whatsapp group for us
195480	208640	just a second till it loads I have to scan this
209120	222800	okay device
233120	238480	creating whatsapp group guys just a second
238640	258960	group so let's say
258960	281200	let me do one thing I'll create it in the break and I'll give it with you I'll
281200	286440	give to you okay so do we go into deep dive in each points of this module or
286440	293760	will go into deep dive permission so we'll build projects over the each module
293760	300120	if you learn react how much different is difficult angular to adopt so I'll tell
300120	304760	you on that part I'll come to that part frameworks are really after right so
304760	309120	just focus on basics once you build that I'll tell you how it is different and
309120	315760	what you need to learn okay you know so let's not jump into that depth like many
315760	320760	people might not know might have heard words like angular and react but they
320760	325480	might not know everything okay so I see we have good enough people today to get
325480	333240	started let me stop this timer and let's get started with the class okay give me
333240	338840	a second I hope you can see my iPad too
339920	349960	great so how's the juice guys give me a thumbs up if you can get started with
349960	362040	full stack LLD month stack right hi thank you so okay so firstly I want to
362040	370280	introduce myself so I'm Uttam Sharma right so I carry more than four point
370280	386600	seven years of work X working at PayPal since 1.5 years as SD 2 okay previously
386600	394320	I worked with UHG and HCL 2 that had really less amount of time spent here so
394320	399240	more on a PayPal basis so I've been a full stack developer since start of my
399240	406440	career with major centric focus centric was on front end and I had good
406440	414080	experience on node and Java stack to up to an extent on a back end and a middle
414240	420880	but major was on front end okay so this is just a introduction about myself so
420880	428680	this is what I've been doing or what what my experience is about but now let's
428680	437040	get started with today's content okay so firstly since it's a first class we'll
437040	440960	talk some some about like you know or something about web fundamentals
440960	446280	firstly once we cover what fundamentals will go for the introduction of HTML and
446280	453640	the thing okay so let's start with one of the basic questions okay one of the
453640	459800	basics questions that you come across okay like what do you think you know
459800	466280	when I go when I say let's say consider this will can start with the overview of
466280	477480	full stack how many of you understand what is full stack so how many of you
477480	486760	understand what is full stack okay front end place back end okay I see two
486760	491760	thumbs up two thumbs down maybe if it is more reactive right like let's keep
491760	498320	people if you can react thumbs up thumbs down maybe more okay I see many
