start	end	text
0	28160	hi all good evening good evening guys am I audible and visible guys give me
28160	37400	thumbs up thumbs down do you feel any disturbances voice of fan do let me
37400	54080	know if you okay hi Abhishek good evening
54080	78520	so how's everyone doing is everyone good anyone got placed like recent times
78520	102520	from scalar or on your own not yet no worries okay my initial round any
102720	122560	specific feedback you got it okay got it oh depending on your prior experience
122760	138480	that was affecting okay great so guys do let me know I'll share my screen if it's
138480	149720	visible we have lot to cover today can you see the screen share like it's
149720	164480	working fine great cool let me open just a second
179720	199280	you can also see the iPad being here right iPad is visible right say there
199280	204160	are no disturbances right my fan is running at speed so just want to check
204160	214680	with you guys like do you hear the noise no noise right great so today guys will
214680	218920	end most of the project complete most of the you know all the features but will
218920	225000	be will be left with I believe local storage and functionalities because
225000	228400	we'll discuss some theory part on that and then we'll implement it but other
228400	234200	than that we'll complete mostly we'll wait for another minute or two let me
234200	242440	start three minutes timer then we'll get started meanwhile if anyone want to talk
242440	247200	about anything they want to share anything please
247200	262600	can you try to fill the whole text area once then create a ticket okay let's do
262600	270120	that there is nothing like filling whole text area some bit because text race can
270120	276920	be expandable by default we change the CSS part of it so let's see this
277920	292360	okay let's have keep on pressing Q see I can keep on getting the scroll but
292360	301560	let's say if I do and do this okay the wrap is missing is it flex wrap let's
301560	303920	see this
303920	326760	but this is on this will apply only on parent let's see this
333960	353040	I'll choose display as flex then let's say flex direction column then flex wrap
355920	360160	okay it is touching all the way
363920	373600	give me a second
377480	390200	wait this long that's fine but if you want to wrap the text area the text
390240	402160	content text wrapped let's say text wrap
405440	408440	nothing works
420560	429680	let's see I'm applying on just a second we'll check that on we'll check that on
429680	435880	some with we'll check on that and we'll see fix this one okay word wrap break
436120	438640	okay
448240	458080	okay fine yeah this works so let me add this word wrap the text area
465880	481560	so it's working like normal rap but let me refresh and check this
495960	501960	still it doesn't work let me give it to the parent element itself
509400	524040	okay yeah there's lot to learn guys thanks Sashank okay I think is can we
524040	528080	get started with today's class second someone ping in once in whatsapp group
528080	533280	we are on time I don't want to get delayed today we have too many topics to
533280	543000	cover okay let's drop you know can drop a position whatsapp group meanwhile I'll
543000	550360	start writing things down yeah I think I received a message thank you guys so we
550360	557000	started with Kanban board project and we started with understanding
557000	569200	requirements then we discussed wireframe then we went on with development when we
569200	577160	started at work we completed HTML and most of the CSS part in first class then
577160	582880	in recent class we completed you know ticket creation
587720	598680	right ticket removal right these two features isn't it guys we have
598680	604120	completed till now so like I hope this till now whatever we have discussed on
604120	609920	the logic point of is those points are clear right I have you know added one
609920	614600	sort of logic like using event bubbling how many of you understand event
614600	622480	bubbling concept clearly give it up so if you understand even bubbling I see one
622480	628600	thumbs up one thumbs down I see two three okay good amount of people who
628600	632480	understand it there's some other people who don't understand so one thing I'll
632480	637280	do here is that I'll pick it up in the last point guys because the way I'll
637280	641720	write the code would be different so I'll pick it up at last I'll try to go
641720	645520	with the flow then I'll teach that concept and then I'll explain this code
645520	652000	how this works that would be fine right because we'll add will work on
652000	659160	implementing those features like remaining features then guys can you
659280	665680	share whatsapp group link so one thing I'll do is that I'll create a new
665680	672760	script script one dot JS inside that I'll repaste this whole logic we can
672760	678200	implement most of the things using event bubbling concept too but I'll try to
678200	683180	teach the other way around then we can explore like how can you improve the
683180	693580	existing logic okay let's say I keep this function as it is and let's say okay
693580	701180	fine but repeating again the whole thing what we have done till now is that
701180	709780	you know we discussed two things mainly one was like creating a ticket like if
709780	713980	you see create ticket function where we were calling this on click of you know
713980	718340	I'll function alt button and you can see here like this one whenever you are
718340	723460	clicking like on a model whenever you're clicking alt we were actually creating a
723460	727700	ticket we're passing text area value then we're creating a ticket and then we
727700	731560	were resetting all the things like resetting the text area changing the
731560	736120	design of model and cleaning up all color section and everything right so
736120	740600	once we did this then we explored like how can we handle remove to handle
740600	744960	remove first we know that we have to switch on that cross button which will
744960	749360	allow you to delete it so for that we added one event listener on remove
749360	754320	button where only if this flag is true then we were throwing alert delete
754320	759000	button has activated and we made it color as red then once it is only
759000	764000	activated we were checking a condition condition and handle remove like only if
764040	769160	it is hand remove task flag is true then we were removing the ticket so I hope
769160	773560	everyone everyone's power like point is clear till now what we have discussed in
773560	778060	earlier class is anyone having any doubt from the code perspective other than
